NUTS0_code,process,month,daytype,hour,load
AT,chemicals_and_petrochemicals,1,0,1,114.040908918
AT,chemicals_and_petrochemicals,1,0,2,114.040908918
AT,chemicals_and_petrochemicals,1,0,3,114.040908918
AT,chemicals_and_petrochemicals,1,0,4,114.040908918
AT,chemicals_and_petrochemicals,1,0,5,114.040908918
AT,chemicals_and_petrochemicals,1,0,6,114.040908918
AT,chemicals_and_petrochemicals,1,0,7,116.127798961
AT,chemicals_and_petrochemicals,1,0,8,116.98596603200001
AT,chemicals_and_petrochemicals,1,0,9,118.130188794
AT,chemicals_and_petrochemicals,1,0,10,118.130188794
AT,chemicals_and_petrochemicals,1,0,11,118.130188794
AT,chemicals_and_petrochemicals,1,0,12,118.130188794
AT,chemicals_and_petrochemicals,1,0,13,118.130188794
AT,chemicals_and_petrochemicals,1,0,14,118.130188794
AT,chemicals_and_petrochemicals,1,0,15,116.98596603200001
AT,chemicals_and_petrochemicals,1,0,16,116.127798961
AT,chemicals_and_petrochemicals,1,0,17,115.26963189
AT,chemicals_and_petrochemicals,1,0,18,115.26963189
AT,chemicals_and_petrochemicals,1,0,19,115.26963189
AT,chemicals_and_petrochemicals,1,0,20,115.26963189
AT,chemicals_and_petrochemicals,1,0,21,115.26963189
AT,chemicals_and_petrochemicals,1,0,22,115.26963189
AT,chemicals_and_petrochemicals,1,0,23,114.040908918
AT,chemicals_and_petrochemicals,1,0,24,114.040908918
AT,chemicals_and_petrochemicals,1,1,1,111.502825477
AT,chemicals_and_petrochemicals,1,1,2,111.502825477
AT,chemicals_and_petrochemicals,1,1,3,111.502825477
AT,chemicals_and_petrochemicals,1,1,4,111.502825477
AT,chemicals_and_petrochemicals,1,1,5,111.502825477
AT,chemicals_and_petrochemicals,1,1,6,111.502825477
AT,chemicals_and_petrochemicals,1,1,7,113.543269897
AT,chemicals_and_petrochemicals,1,1,8,114.382337685
AT,chemicals_and_petrochemicals,1,1,9,115.501094735
AT,chemicals_and_petrochemicals,1,1,10,115.501094735
AT,chemicals_and_petrochemicals,1,1,11,115.501094735
AT,chemicals_and_petrochemicals,1,1,12,115.501094735
AT,chemicals_and_petrochemicals,1,1,13,115.501094735
AT,chemicals_and_petrochemicals,1,1,14,115.501094735
AT,chemicals_and_petrochemicals,1,1,15,114.382337685
AT,chemicals_and_petrochemicals,1,1,16,113.543269897
AT,chemicals_and_petrochemicals,1,1,17,112.70420211
AT,chemicals_and_petrochemicals,1,1,18,112.70420211
AT,chemicals_and_petrochemicals,1,1,19,112.70420211
AT,chemicals_and_petrochemicals,1,1,20,112.70420211
AT,chemicals_and_petrochemicals,1,1,21,112.70420211
AT,chemicals_and_petrochemicals,1,1,22,112.70420211
AT,chemicals_and_petrochemicals,1,1,23,111.502825477
AT,chemicals_and_petrochemicals,1,1,24,111.502825477
AT,chemicals_and_petrochemicals,1,2,1,111.013136391
AT,chemicals_and_petrochemicals,1,2,2,111.013136391
AT,chemicals_and_petrochemicals,1,2,3,111.013136391
AT,chemicals_and_petrochemicals,1,2,4,111.013136391
AT,chemicals_and_petrochemicals,1,2,5,111.013136391
AT,chemicals_and_petrochemicals,1,2,6,111.013136391
AT,chemicals_and_petrochemicals,1,2,7,113.044619753
AT,chemicals_and_petrochemicals,1,2,8,113.88000259100001
AT,chemicals_and_petrochemicals,1,2,9,114.993846374
AT,chemicals_and_petrochemicals,1,2,10,114.993846374
AT,chemicals_and_petrochemicals,1,2,11,114.993846374
AT,chemicals_and_petrochemicals,1,2,12,114.993846374
AT,chemicals_and_petrochemicals,1,2,13,114.993846374
AT,chemicals_and_petrochemicals,1,2,14,114.993846374
AT,chemicals_and_petrochemicals,1,2,15,113.88000259100001
AT,chemicals_and_petrochemicals,1,2,16,113.044619753
AT,chemicals_and_petrochemicals,1,2,17,112.20923691499999
AT,chemicals_and_petrochemicals,1,2,18,112.20923691499999
AT,chemicals_and_petrochemicals,1,2,19,112.20923691499999
AT,chemicals_and_petrochemicals,1,2,20,112.20923691499999
AT,chemicals_and_petrochemicals,1,2,21,112.20923691499999
AT,chemicals_and_petrochemicals,1,2,22,112.20923691499999
AT,chemicals_and_petrochemicals,1,2,23,111.013136391
AT,chemicals_and_petrochemicals,1,2,24,111.013136391
AT,chemicals_and_petrochemicals,2,0,1,113.505537077
AT,chemicals_and_petrochemicals,2,0,2,113.505537077
AT,chemicals_and_petrochemicals,2,0,3,113.505537077
AT,chemicals_and_petrochemicals,2,0,4,113.505537077
AT,chemicals_and_petrochemicals,2,0,5,113.505537077
AT,chemicals_and_petrochemicals,2,0,6,113.505537077
AT,chemicals_and_petrochemicals,2,0,7,115.582630091
AT,chemicals_and_petrochemicals,2,0,8,116.436768445
AT,chemicals_and_petrochemicals,2,0,9,117.575619585
AT,chemicals_and_petrochemicals,2,0,10,117.575619585
AT,chemicals_and_petrochemicals,2,0,11,117.575619585
AT,chemicals_and_petrochemicals,2,0,12,117.575619585
AT,chemicals_and_petrochemicals,2,0,13,117.575619585
AT,chemicals_and_petrochemicals,2,0,14,117.575619585
AT,chemicals_and_petrochemicals,2,0,15,116.436768445
AT,chemicals_and_petrochemicals,2,0,16,115.582630091
AT,chemicals_and_petrochemicals,2,0,17,114.728491736
AT,chemicals_and_petrochemicals,2,0,18,114.728491736
AT,chemicals_and_petrochemicals,2,0,19,114.728491736
AT,chemicals_and_petrochemicals,2,0,20,114.728491736
AT,chemicals_and_petrochemicals,2,0,21,114.728491736
AT,chemicals_and_petrochemicals,2,0,22,114.728491736
AT,chemicals_and_petrochemicals,2,0,23,113.505537077
AT,chemicals_and_petrochemicals,2,0,24,113.505537077
AT,chemicals_and_petrochemicals,2,1,1,110.97936881999999
