NUTS0_code,process,month,daytype,hour,load
AT,food_and_tobacco,1,0,1,105.71749925900001
AT,food_and_tobacco,1,0,2,105.71749925900001
AT,food_and_tobacco,1,0,3,105.71749925900001
AT,food_and_tobacco,1,0,4,105.71749925900001
AT,food_and_tobacco,1,0,5,105.71749925900001
AT,food_and_tobacco,1,0,6,105.71749925900001
AT,food_and_tobacco,1,0,7,107.654172283
AT,food_and_tobacco,1,0,8,108.442800168
AT,food_and_tobacco,1,0,9,109.49430401400001
AT,food_and_tobacco,1,0,10,109.49430401400001
AT,food_and_tobacco,1,0,11,109.49430401400001
AT,food_and_tobacco,1,0,12,109.49430401400001
AT,food_and_tobacco,1,0,13,109.49430401400001
AT,food_and_tobacco,1,0,14,109.49430401400001
AT,food_and_tobacco,1,0,15,108.442800168
AT,food_and_tobacco,1,0,16,107.654172283
AT,food_and_tobacco,1,0,17,106.865544398
AT,food_and_tobacco,1,0,18,106.865544398
AT,food_and_tobacco,1,0,19,106.865544398
AT,food_and_tobacco,1,0,20,106.865544398
AT,food_and_tobacco,1,0,21,106.865544398
AT,food_and_tobacco,1,0,22,106.865544398
AT,food_and_tobacco,1,0,23,105.71749925900001
AT,food_and_tobacco,1,0,24,105.71749925900001
AT,food_and_tobacco,1,1,1,103.38821922300001
AT,food_and_tobacco,1,1,2,103.38821922300001
AT,food_and_tobacco,1,1,3,103.38821922300001
AT,food_and_tobacco,1,1,4,103.38821922300001
AT,food_and_tobacco,1,1,5,103.38821922300001
AT,food_and_tobacco,1,1,6,103.38821922300001
AT,food_and_tobacco,1,1,7,105.28222141299999
AT,food_and_tobacco,1,1,8,106.053473413
AT,food_and_tobacco,1,1,9,107.081809412
AT,food_and_tobacco,1,1,10,107.081809412
AT,food_and_tobacco,1,1,11,107.081809412
AT,food_and_tobacco,1,1,12,107.081809412
AT,food_and_tobacco,1,1,13,107.081809412
AT,food_and_tobacco,1,1,14,107.081809412
AT,food_and_tobacco,1,1,15,106.053473413
AT,food_and_tobacco,1,1,16,105.28222141299999
AT,food_and_tobacco,1,1,17,104.510969414
AT,food_and_tobacco,1,1,18,104.510969414
AT,food_and_tobacco,1,1,19,104.510969414
AT,food_and_tobacco,1,1,20,104.510969414
AT,food_and_tobacco,1,1,21,104.510969414
AT,food_and_tobacco,1,1,22,104.510969414
AT,food_and_tobacco,1,1,23,103.38821922300001
AT,food_and_tobacco,1,1,24,103.38821922300001
AT,food_and_tobacco,1,2,1,102.930624516
AT,food_and_tobacco,1,2,2,102.930624516
AT,food_and_tobacco,1,2,3,102.930624516
AT,food_and_tobacco,1,2,4,102.930624516
AT,food_and_tobacco,1,2,5,102.930624516
AT,food_and_tobacco,1,2,6,102.930624516
AT,food_and_tobacco,1,2,7,104.81624388099999
AT,food_and_tobacco,1,2,8,105.584082331
AT,food_and_tobacco,1,2,9,106.60786693
AT,food_and_tobacco,1,2,10,106.60786693
AT,food_and_tobacco,1,2,11,106.60786693
AT,food_and_tobacco,1,2,12,106.60786693
AT,food_and_tobacco,1,2,13,106.60786693
AT,food_and_tobacco,1,2,14,106.60786693
AT,food_and_tobacco,1,2,15,105.584082331
AT,food_and_tobacco,1,2,16,104.81624388099999
AT,food_and_tobacco,1,2,17,104.048405432
AT,food_and_tobacco,1,2,18,104.048405432
AT,food_and_tobacco,1,2,19,104.048405432
AT,food_and_tobacco,1,2,20,104.048405432
AT,food_and_tobacco,1,2,21,104.048405432
AT,food_and_tobacco,1,2,22,104.048405432
AT,food_and_tobacco,1,2,23,102.930624516
AT,food_and_tobacco,1,2,24,102.930624516
AT,food_and_tobacco,2,0,1,104.347230275
AT,food_and_tobacco,2,0,2,104.347230275
AT,food_and_tobacco,2,0,3,104.347230275
AT,food_and_tobacco,2,0,4,104.347230275
AT,food_and_tobacco,2,0,5,104.347230275
AT,food_and_tobacco,2,0,6,104.347230275
AT,food_and_tobacco,2,0,7,106.25880089900001
AT,food_and_tobacco,2,0,8,107.037206897
AT,food_and_tobacco,2,0,9,108.075081561
AT,food_and_tobacco,2,0,10,108.075081561
AT,food_and_tobacco,2,0,11,108.075081561
AT,food_and_tobacco,2,0,12,108.075081561
AT,food_and_tobacco,2,0,13,108.075081561
AT,food_and_tobacco,2,0,14,108.075081561
AT,food_and_tobacco,2,0,15,107.037206897
