NUTS0_code,process,month,daytype,hour,load
AT,iron_and_steel,1,0,1,112.91432182
AT,iron_and_steel,1,0,2,112.91432182
AT,iron_and_steel,1,0,3,112.91432182
AT,iron_and_steel,1,0,4,112.91432182
AT,iron_and_steel,1,0,5,112.91432182
AT,iron_and_steel,1,0,6,112.91432182
AT,iron_and_steel,1,0,7,115.20150173500001
AT,iron_and_steel,1,0,8,115.323843158
AT,iron_and_steel,1,0,9,115.486965055
AT,iron_and_steel,1,0,10,115.486965055
AT,iron_and_steel,1,0,11,115.486965055
AT,iron_and_steel,1,0,12,115.486965055
AT,iron_and_steel,1,0,13,115.486965055
AT,iron_and_steel,1,0,14,115.486965055
AT,iron_and_steel,1,0,15,115.323843158
AT,iron_and_steel,1,0,16,115.20150173500001
AT,iron_and_steel,1,0,17,115.079160313
AT,iron_and_steel,1,0,18,115.079160313
AT,iron_and_steel,1,0,19,115.079160313
AT,iron_and_steel,1,0,20,115.079160313
AT,iron_and_steel,1,0,21,115.079160313
AT,iron_and_steel,1,0,22,115.079160313
AT,iron_and_steel,1,0,23,112.91432182
AT,iron_and_steel,1,0,24,112.91432182
AT,iron_and_steel,1,1,1,112.914322311
AT,iron_and_steel,1,1,2,112.914322311
AT,iron_and_steel,1,1,3,112.914322311
AT,iron_and_steel,1,1,4,112.914322311
AT,iron_and_steel,1,1,5,112.914322311
AT,iron_and_steel,1,1,6,112.914322311
AT,iron_and_steel,1,1,7,115.201502237
AT,iron_and_steel,1,1,8,115.32384366
AT,iron_and_steel,1,1,9,115.48696555699999
AT,iron_and_steel,1,1,10,115.48696555699999
AT,iron_and_steel,1,1,11,115.48696555699999
AT,iron_and_steel,1,1,12,115.48696555699999
AT,iron_and_steel,1,1,13,115.48696555699999
AT,iron_and_steel,1,1,14,115.48696555699999
AT,iron_and_steel,1,1,15,115.32384366
AT,iron_and_steel,1,1,16,115.201502237
AT,iron_and_steel,1,1,17,115.079160814
AT,iron_and_steel,1,1,18,115.079160814
AT,iron_and_steel,1,1,19,115.079160814
AT,iron_and_steel,1,1,20,115.079160814
AT,iron_and_steel,1,1,21,115.079160814
AT,iron_and_steel,1,1,22,115.079160814
