NUTS0_code,process,month,daytype,hour,load
AT,non_metalic_minerals,1,0,1,114.80666148799999
AT,non_metalic_minerals,1,0,2,114.80666148799999
AT,non_metalic_minerals,1,0,3,114.80666148799999
AT,non_metalic_minerals,1,0,4,114.80666148799999
AT,non_metalic_minerals,1,0,5,114.80666148799999
AT,non_metalic_minerals,1,0,6,114.80666148799999
AT,non_metalic_minerals,1,0,7,116.791151274
AT,non_metalic_minerals,1,0,8,118.038379112
AT,non_metalic_minerals,1,0,9,119.701349562
AT,non_metalic_minerals,1,0,10,119.701349562
AT,non_metalic_minerals,1,0,11,119.701349562
AT,non_metalic_minerals,1,0,12,119.701349562
AT,non_metalic_minerals,1,0,13,119.701349562
AT,non_metalic_minerals,1,0,14,119.701349562
AT,non_metalic_minerals,1,0,15,118.038379112
AT,non_metalic_minerals,1,0,16,116.791151274
AT,non_metalic_minerals,1,0,17,115.543923437
AT,non_metalic_minerals,1,0,18,115.543923437
AT,non_metalic_minerals,1,0,19,115.543923437
AT,non_metalic_minerals,1,0,20,115.543923437
AT,non_metalic_minerals,1,0,21,115.543923437
AT,non_metalic_minerals,1,0,22,115.543923437
AT,non_metalic_minerals,1,0,23,114.80666148799999
AT,non_metalic_minerals,1,0,24,114.80666148799999
AT,non_metalic_minerals,1,1,1,110.95243995599999
AT,non_metalic_minerals,1,1,2,110.95243995599999
AT,non_metalic_minerals,1,1,3,110.95243995599999
AT,non_metalic_minerals,1,1,4,110.95243995599999
AT,non_metalic_minerals,1,1,5,110.95243995599999
AT,non_metalic_minerals,1,1,6,110.95243995599999
AT,non_metalic_minerals,1,1,7,112.870307621
AT,non_metalic_minerals,1,1,8,114.075664262
AT,non_metalic_minerals,1,1,9,115.682806449
AT,non_metalic_minerals,1,1,10,115.682806449
AT,non_metalic_minerals,1,1,11,115.682806449
AT,non_metalic_minerals,1,1,12,115.682806449
AT,non_metalic_minerals,1,1,13,115.682806449
AT,non_metalic_minerals,1,1,14,115.682806449
AT,non_metalic_minerals,1,1,15,114.075664262
AT,non_metalic_minerals,1,1,16,112.870307621
AT,non_metalic_minerals,1,1,17,111.66495098099999
AT,non_metalic_minerals,1,1,18,111.66495098099999
AT,non_metalic_minerals,1,1,19,111.66495098099999
AT,non_metalic_minerals,1,1,20,111.66495098099999
AT,non_metalic_minerals,1,1,21,111.66495098099999
AT,non_metalic_minerals,1,1,22,111.66495098099999
AT,non_metalic_minerals,1,1,23,110.95243995599999
AT,non_metalic_minerals,1,1,24,110.95243995599999
AT,non_metalic_minerals,1,2,1,110.66052487500001
AT,non_metalic_minerals,1,2,2,110.66052487500001
AT,non_metalic_minerals,1,2,3,110.66052487500001
AT,non_metalic_minerals,1,2,4,110.66052487500001
AT,non_metalic_minerals,1,2,5,110.66052487500001
AT,non_metalic_minerals,1,2,6,110.66052487500001
AT,non_metalic_minerals,1,2,7,112.573346644
AT,non_metalic_minerals,1,2,8,113.775532
AT,non_metalic_minerals,1,2,9,115.378445807
AT,non_metalic_minerals,1,2,10,115.378445807
AT,non_metalic_minerals,1,2,11,115.378445807
AT,non_metalic_minerals,1,2,12,115.378445807
AT,non_metalic_minerals,1,2,13,115.378445807
AT,non_metalic_minerals,1,2,14,115.378445807
AT,non_metalic_minerals,1,2,15,113.775532
AT,non_metalic_minerals,1,2,16,112.573346644
AT,non_metalic_minerals,1,2,17,111.371161289
AT,non_metalic_minerals,1,2,18,111.371161289
AT,non_metalic_minerals,1,2,19,111.371161289
AT,non_metalic_minerals,1,2,20,111.371161289
AT,non_metalic_minerals,1,2,21,111.371161289
AT,non_metalic_minerals,1,2,22,111.371161289
AT,non_metalic_minerals,1,2,23,110.66052487500001
AT,non_metalic_minerals,1,2,24,110.66052487500001
AT,non_metalic_minerals,2,0,1,113.917249567
AT,non_metalic_minerals,2,0,2,113.917249567
AT,non_metalic_minerals,2,0,3,113.917249567
AT,non_metalic_minerals,2,0,4,113.917249567
AT,non_metalic_minerals,2,0,5,113.917249567
AT,non_metalic_minerals,2,0,6,113.917249567
AT,non_metalic_minerals,2,0,7,115.88636542900001
AT,non_metalic_minerals,2,0,8,117.123930942
AT,non_metalic_minerals,2,0,9,118.77401829200001
AT,non_metalic_minerals,2,0,10,118.77401829200001
AT,non_metalic_minerals,2,0,11,118.77401829200001
AT,non_metalic_minerals,2,0,12,118.77401829200001
AT,non_metalic_minerals,2,0,13,118.77401829200001
AT,non_metalic_minerals,2,0,14,118.77401829200001
AT,non_metalic_minerals,2,0,15,117.123930942
AT,non_metalic_minerals,2,0,16,115.88636542900001
AT,non_metalic_minerals,2,0,17,114.648799917
AT,non_metalic_minerals,2,0,18,114.648799917
AT,non_metalic_minerals,2,0,19,114.648799917
AT,non_metalic_minerals,2,0,20,114.648799917
AT,non_metalic_minerals,2,0,21,114.648799917
AT,non_metalic_minerals,2,0,22,114.648799917
AT,non_metalic_minerals,2,0,23,113.917249567
AT,non_metalic_minerals,2,0,24,113.917249567
AT,non_metalic_minerals,2,1,1,110.092886847
AT,non_metalic_minerals,2,1,2,110.092886847
AT,non_metalic_minerals,2,1,3,110.092886847
AT,non_metalic_minerals,2,1,4,110.092886847
AT,non_metalic_minerals,2,1,5,110.092886847
AT,non_metalic_minerals,2,1,6,110.092886847
AT,non_metalic_minerals,2,1,7,111.995896713
AT,non_metalic_minerals,2,1,8,113.191915406
AT,non_metalic_minerals,2,1,9,114.78660699699999
AT,non_metalic_minerals,2,1,10,114.78660699699999
AT,non_metalic_minerals,2,1,11,114.78660699699999
AT,non_metalic_minerals,2,1,12,114.78660699699999
AT,non_metalic_minerals,2,1,13,114.78660699699999
AT,non_metalic_minerals,2,1,14,114.78660699699999
AT,non_metalic_minerals,2,1,15,113.191915406
AT,non_metalic_minerals,2,1,16,111.995896713
AT,non_metalic_minerals,2,1,17,110.79987802000001
AT,non_metalic_minerals,2,1,18,110.79987802000001
AT,non_metalic_minerals,2,1,19,110.79987802000001
AT,non_metalic_minerals,2,1,20,110.79987802000001
AT,non_metalic_minerals,2,1,21,110.79987802000001
AT,non_metalic_minerals,2,1,22,110.79987802000001
AT,non_metalic_minerals,2,1,23,110.092886847
AT,non_metalic_minerals,2,1,24,110.092886847
AT,non_metalic_minerals,2,2,1,109.803233244
AT,non_metalic_minerals,2,2,2,109.803233244
AT,non_metalic_minerals,2,2,3,109.803233244
AT,non_metalic_minerals,2,2,4,109.803233244
AT,non_metalic_minerals,2,2,5,109.803233244
AT,non_metalic_minerals,2,2,6,109.803233244
AT,non_metalic_minerals,2,2,7,111.70123630500001
AT,non_metalic_minerals,2,2,8,112.894108281
AT,non_metalic_minerals,2,2,9,114.484604249
AT,non_metalic_minerals,2,2,10,114.484604249
AT,non_metalic_minerals,2,2,11,114.484604249
AT,non_metalic_minerals,2,2,12,114.484604249
AT,non_metalic_minerals,2,2,13,114.484604249
AT,non_metalic_minerals,2,2,14,114.484604249
AT,non_metalic_minerals,2,2,15,112.894108281
AT,non_metalic_minerals,2,2,16,111.70123630500001
AT,non_metalic_minerals,2,2,17,110.508364329
AT,non_metalic_minerals,2,2,18,110.508364329
AT,non_metalic_minerals,2,2,19,110.508364329
AT,non_metalic_minerals,2,2,20,110.508364329
AT,non_metalic_minerals,2,2,21,110.508364329
AT,non_metalic_minerals,2,2,22,110.508364329
AT,non_metalic_minerals,2,2,23,109.803233244
AT,non_metalic_minerals,2,2,24,109.803233244
AT,non_metalic_minerals,3,0,1,110.51751974599999
AT,non_metalic_minerals,3,0,2,110.51751974599999
AT,non_metalic_minerals,3,0,3,110.51751974599999
AT,non_metalic_minerals,3,0,4,110.51751974599999
AT,non_metalic_minerals,3,0,5,110.51751974599999
AT,non_metalic_minerals,3,0,6,110.51751974599999
AT,non_metalic_minerals,3,0,7,112.427869601
AT,non_metalic_minerals,3,0,8,113.628501388
AT,non_metalic_minerals,3,0,9,115.229343771
