NUTS2_code,process,season,day_type,hour,load,temperature
AT11,shw_tertiary,,0,1,17.4246,
AT11,shw_tertiary,,0,2,16.6558,
AT11,shw_tertiary,,0,3,16.6638,
AT11,shw_tertiary,,0,4,16.8621,
AT11,shw_tertiary,,0,5,17.6905,
AT11,shw_tertiary,,0,6,18.8318,
AT11,shw_tertiary,,0,7,20.8171,
AT11,shw_tertiary,,0,8,23.89,
AT11,shw_tertiary,,0,9,27.6568,
AT11,shw_tertiary,,0,10,30.5359,
AT11,shw_tertiary,,0,11,31.609,
AT11,shw_tertiary,,0,12,31.3681,
AT11,shw_tertiary,,0,13,30.6883,
AT11,shw_tertiary,,0,14,30.1743,
AT11,shw_tertiary,,0,15,29.3384,
AT11,shw_tertiary,,0,16,27.6442,
AT11,shw_tertiary,,0,17,25.6679,
AT11,shw_tertiary,,0,18,24.3143,
AT11,shw_tertiary,,0,19,23.8443,
AT11,shw_tertiary,,0,20,23.7206,
AT11,shw_tertiary,,0,21,23.6658,
AT11,shw_tertiary,,0,22,22.5497,
AT11,shw_tertiary,,0,23,20.8995,
AT11,shw_tertiary,,0,24,18.7029,
AT11,shw_tertiary,,1,1,17.3193,
AT11,shw_tertiary,,1,2,16.5554,
AT11,shw_tertiary,,1,3,16.5631,
AT11,shw_tertiary,,1,4,16.7196,
AT11,shw_tertiary,,1,5,17.4782,
AT11,shw_tertiary,,1,6,18.351,
AT11,shw_tertiary,,1,7,19.6573,
AT11,shw_tertiary,,1,8,21.5218,
AT11,shw_tertiary,,1,9,23.841,
AT11,shw_tertiary,,1,10,25.622,
AT11,shw_tertiary,,1,11,26.3824,
AT11,shw_tertiary,,1,12,26.4971,
AT11,shw_tertiary,,1,13,26.2064,
AT11,shw_tertiary,,1,14,25.9319,
AT11,shw_tertiary,,1,15,25.5776,
AT11,shw_tertiary,,1,16,24.8871,
AT11,shw_tertiary,,1,17,23.9771,
AT11,shw_tertiary,,1,18,23.2344,
AT11,shw_tertiary,,1,19,22.7963,
AT11,shw_tertiary,,1,20,22.4731,
AT11,shw_tertiary,,1,21,22.292,
AT11,shw_tertiary,,1,22,21.5127,
AT11,shw_tertiary,,1,23,20.3493,
AT11,shw_tertiary,,1,24,18.5401,
AT11,shw_tertiary,,2,1,17.1867,
AT11,shw_tertiary,,2,2,16.4261,
AT11,shw_tertiary,,2,3,16.4337,
AT11,shw_tertiary,,2,4,16.5374,
AT11,shw_tertiary,,2,5,17.1581,
AT11,shw_tertiary,,2,6,17.7552,
AT11,shw_tertiary,,2,7,18.6756,
AT11,shw_tertiary,,2,8,19.8068,
AT11,shw_tertiary,,2,9,21.2734,
AT11,shw_tertiary,,2,10,22.3194,
AT11,shw_tertiary,,2,11,22.8119,
AT11,shw_tertiary,,2,12,22.9436,
AT11,shw_tertiary,,2,13,22.7855,
AT11,shw_tertiary,,2,14,22.4273,
AT11,shw_tertiary,,2,15,21.9162,
AT11,shw_tertiary,,2,16,21.1603,
AT11,shw_tertiary,,2,17,20.4718,
AT11,shw_tertiary,,2,18,20.1437,
AT11,shw_tertiary,,2,19,20.2157,
AT11,shw_tertiary,,2,20,20.38,
AT11,shw_tertiary,,2,21,20.4551,
AT11,shw_tertiary,,2,22,20.0245,
AT11,shw_tertiary,,2,23,19.4166,
AT11,shw_tertiary,,2,24,18.1587,
AT12,shw_tertiary,,0,1,17.4246,
AT12,shw_tertiary,,0,2,16.6558,
AT12,shw_tertiary,,0,3,16.6638,
AT12,shw_tertiary,,0,4,16.8621,
AT12,shw_tertiary,,0,5,17.6905,
AT12,shw_tertiary,,0,6,18.8318,
AT12,shw_tertiary,,0,7,20.8171,
AT12,shw_tertiary,,0,8,23.89,
AT12,shw_tertiary,,0,9,27.6568,
AT12,shw_tertiary,,0,10,30.5359,
AT12,shw_tertiary,,0,11,31.609,
AT12,shw_tertiary,,0,12,31.3681,
AT12,shw_tertiary,,0,13,30.6883,
AT12,shw_tertiary,,0,14,30.1743,
AT12,shw_tertiary,,0,15,29.3384,
AT12,shw_tertiary,,0,16,27.6442,
AT12,shw_tertiary,,0,17,25.6679,
AT12,shw_tertiary,,0,18,24.3143,
AT12,shw_tertiary,,0,19,23.8443,
AT12,shw_tertiary,,0,20,23.7206,
AT12,shw_tertiary,,0,21,23.6658,
AT12,shw_tertiary,,0,22,22.5497,
AT12,shw_tertiary,,0,23,20.8995,
AT12,shw_tertiary,,0,24,18.7029,
AT12,shw_tertiary,,1,1,17.3193,
AT12,shw_tertiary,,1,2,16.5554,
AT12,shw_tertiary,,1,3,16.5631,
AT12,shw_tertiary,,1,4,16.7196,
AT12,shw_tertiary,,1,5,17.4782,
AT12,shw_tertiary,,1,6,18.351,
AT12,shw_tertiary,,1,7,19.6573,
AT12,shw_tertiary,,1,8,21.5218,
AT12,shw_tertiary,,1,9,23.841,
AT12,shw_tertiary,,1,10,25.622,
AT12,shw_tertiary,,1,11,26.3824,
AT12,shw_tertiary,,1,12,26.4971,
AT12,shw_tertiary,,1,13,26.2064,
AT12,shw_tertiary,,1,14,25.9319,
AT12,shw_tertiary,,1,15,25.5776,
AT12,shw_tertiary,,1,16,24.8871,
AT12,shw_tertiary,,1,17,23.9771,
AT12,shw_tertiary,,1,18,23.2344,
AT12,shw_tertiary,,1,19,22.7963,
AT12,shw_tertiary,,1,20,22.4731,
AT12,shw_tertiary,,1,21,22.292,
AT12,shw_tertiary,,1,22,21.5127,
AT12,shw_tertiary,,1,23,20.3493,
AT12,shw_tertiary,,1,24,18.5401,
AT12,shw_tertiary,,2,1,17.1867,
AT12,shw_tertiary,,2,2,16.4261,
AT12,shw_tertiary,,2,3,16.4337,
AT12,shw_tertiary,,2,4,16.5374,
AT12,shw_tertiary,,2,5,17.1581,
AT12,shw_tertiary,,2,6,17.7552,
AT12,shw_tertiary,,2,7,18.6756,
AT12,shw_tertiary,,2,8,19.8068,
AT12,shw_tertiary,,2,9,21.2734,
AT12,shw_tertiary,,2,10,22.3194,
AT12,shw_tertiary,,2,11,22.8119,
AT12,shw_tertiary,,2,12,22.9436,
AT12,shw_tertiary,,2,13,22.7855,
AT12,shw_tertiary,,2,14,22.4273,
AT12,shw_tertiary,,2,15,21.9162,
AT12,shw_tertiary,,2,16,21.1603,
AT12,shw_tertiary,,2,17,20.4718,
AT12,shw_tertiary,,2,18,20.1437,
AT12,shw_tertiary,,2,19,20.2157,
AT12,shw_tertiary,,2,20,20.38,
AT12,shw_tertiary,,2,21,20.4551,
AT12,shw_tertiary,,2,22,20.0245,
AT12,shw_tertiary,,2,23,19.4166,
AT12,shw_tertiary,,2,24,18.1587,
AT13,shw_tertiary,,0,1,17.4246,
AT13,shw_tertiary,,0,2,16.6558,
AT13,shw_tertiary,,0,3,16.6638,
AT13,shw_tertiary,,0,4,16.8621,
AT13,shw_tertiary,,0,5,17.6905,
AT13,shw_tertiary,,0,6,18.8318,
AT13,shw_tertiary,,0,7,20.8171,
AT13,shw_tertiary,,0,8,23.89,
AT13,shw_tertiary,,0,9,27.6568,
AT13,shw_tertiary,,0,10,30.5359,
AT13,shw_tertiary,,0,11,31.609,
AT13,shw_tertiary,,0,12,31.3681,
AT13,shw_tertiary,,0,13,30.6883,
AT13,shw_tertiary,,0,14,30.1743,
AT13,shw_tertiary,,0,15,29.3384,
AT13,shw_tertiary,,0,16,27.6442,
AT13,shw_tertiary,,0,17,25.6679,
AT13,shw_tertiary,,0,18,24.3143,
AT13,shw_tertiary,,0,19,23.8443,
AT13,shw_tertiary,,0,20,23.7206,
AT13,shw_tertiary,,0,21,23.6658,
AT13,shw_tertiary,,0,22,22.5497,
AT13,shw_tertiary,,0,23,20.8995,
AT13,shw_tertiary,,0,24,18.7029,
AT13,shw_tertiary,,1,1,17.3193,
AT13,shw_tertiary,,1,2,16.5554,
AT13,shw_tertiary,,1,3,16.5631,
AT13,shw_tertiary,,1,4,16.7196,
AT13,shw_tertiary,,1,5,17.4782,
AT13,shw_tertiary,,1,6,18.351,
AT13,shw_tertiary,,1,7,19.6573,
AT13,shw_tertiary,,1,8,21.5218,
AT13,shw_tertiary,,1,9,23.841,
AT13,shw_tertiary,,1,10,25.622,
AT13,shw_tertiary,,1,11,26.3824,
AT13,shw_tertiary,,1,12,26.4971,
AT13,shw_tertiary,,1,13,26.2064,
AT13,shw_tertiary,,1,14,25.9319,
AT13,shw_tertiary,,1,15,25.5776,
AT13,shw_tertiary,,1,16,24.8871,
AT13,shw_tertiary,,1,17,23.9771,
AT13,shw_tertiary,,1,18,23.2344,
AT13,shw_tertiary,,1,19,22.7963,
AT13,shw_tertiary,,1,20,22.4731,
AT13,shw_tertiary,,1,21,22.292,
AT13,shw_tertiary,,1,22,21.5127,
AT13,shw_tertiary,,1,23,20.3493,
AT13,shw_tertiary,,1,24,18.5401,
AT13,shw_tertiary,,2,1,17.1867,
AT13,shw_tertiary,,2,2,16.4261,
AT13,shw_tertiary,,2,3,16.4337,
AT13,shw_tertiary,,2,4,16.5374,
AT13,shw_tertiary,,2,5,17.1581,
AT13,shw_tertiary,,2,6,17.7552,
AT13,shw_tertiary,,2,7,18.6756,
AT13,shw_tertiary,,2,8,19.8068,
AT13,shw_tertiary,,2,9,21.2734,
AT13,shw_tertiary,,2,10,22.3194,
AT13,shw_tertiary,,2,11,22.8119,
AT13,shw_tertiary,,2,12,22.9436,
AT13,shw_tertiary,,2,13,22.7855,
AT13,shw_tertiary,,2,14,22.4273,
AT13,shw_tertiary,,2,15,21.9162,
AT13,shw_tertiary,,2,16,21.1603,
AT13,shw_tertiary,,2,17,20.4718,
AT13,shw_tertiary,,2,18,20.1437,
AT13,shw_tertiary,,2,19,20.2157,
AT13,shw_tertiary,,2,20,20.38,
AT13,shw_tertiary,,2,21,20.4551,
AT13,shw_tertiary,,2,22,20.0245,
AT13,shw_tertiary,,2,23,19.4166,
AT13,shw_tertiary,,2,24,18.1587,
AT21,shw_tertiary,,0,1,17.4246,
AT21,shw_tertiary,,0,2,16.6558,
AT21,shw_tertiary,,0,3,16.6638,
AT21,shw_tertiary,,0,4,16.8621,
AT21,shw_tertiary,,0,5,17.6905,
AT21,shw_tertiary,,0,6,18.8318,
AT21,shw_tertiary,,0,7,20.8171,
AT21,shw_tertiary,,0,8,23.89,
AT21,shw_tertiary,,0,9,27.6568,
AT21,shw_tertiary,,0,10,30.5359,
AT21,shw_tertiary,,0,11,31.609,
AT21,shw_tertiary,,0,12,31.3681,
AT21,shw_tertiary,,0,13,30.6883,
AT21,shw_tertiary,,0,14,30.1743,
AT21,shw_tertiary,,0,15,29.3384,
AT21,shw_tertiary,,0,16,27.6442,
AT21,shw_tertiary,,0,17,25.6679,
AT21,shw_tertiary,,0,18,24.3143,
AT21,shw_tertiary,,0,19,23.8443,
AT21,shw_tertiary,,0,20,23.7206,
AT21,shw_tertiary,,0,21,23.6658,
AT21,shw_tertiary,,0,22,22.5497,
AT21,shw_tertiary,,0,23,20.8995,
AT21,shw_tertiary,,0,24,18.7029,
AT21,shw_tertiary,,1,1,17.3193,
AT21,shw_tertiary,,1,2,16.5554,
AT21,shw_tertiary,,1,3,16.5631,
AT21,shw_tertiary,,1,4,16.7196,
AT21,shw_tertiary,,1,5,17.4782,
AT21,shw_tertiary,,1,6,18.351,
AT21,shw_tertiary,,1,7,19.6573,
AT21,shw_tertiary,,1,8,21.5218,
AT21,shw_tertiary,,1,9,23.841,
AT21,shw_tertiary,,1,10,25.622,
AT21,shw_tertiary,,1,11,26.3824,
AT21,shw_tertiary,,1,12,26.4971,
AT21,shw_tertiary,,1,13,26.2064,
AT21,shw_tertiary,,1,14,25.9319,
AT21,shw_tertiary,,1,15,25.5776,
AT21,shw_tertiary,,1,16,24.8871,
AT21,shw_tertiary,,1,17,23.9771,
AT21,shw_tertiary,,1,18,23.2344,
AT21,shw_tertiary,,1,19,22.7963,
AT21,shw_tertiary,,1,20,22.4731,
AT21,shw_tertiary,,1,21,22.292,
AT21,shw_tertiary,,1,22,21.5127,
AT21,shw_tertiary,,1,23,20.3493,
AT21,shw_tertiary,,1,24,18.5401,
AT21,shw_tertiary,,2,1,17.1867,
AT21,shw_tertiary,,2,2,16.4261,
AT21,shw_tertiary,,2,3,16.4337,
AT21,shw_tertiary,,2,4,16.5374,
AT21,shw_tertiary,,2,5,17.1581,
AT21,shw_tertiary,,2,6,17.7552,
AT21,shw_tertiary,,2,7,18.6756,
AT21,shw_tertiary,,2,8,19.8068,
AT21,shw_tertiary,,2,9,21.2734,
AT21,shw_tertiary,,2,10,22.3194,
AT21,shw_tertiary,,2,11,22.8119,
AT21,shw_tertiary,,2,12,22.9436,
AT21,shw_tertiary,,2,13,22.7855,
AT21,shw_tertiary,,2,14,22.4273,
AT21,shw_tertiary,,2,15,21.9162,
AT21,shw_tertiary,,2,16,21.1603,
AT21,shw_tertiary,,2,17,20.4718,
AT21,shw_tertiary,,2,18,20.1437,
AT21,shw_tertiary,,2,19,20.2157,
AT21,shw_tertiary,,2,20,20.38,
AT21,shw_tertiary,,2,21,20.4551,
AT21,shw_tertiary,,2,22,20.0245,
AT21,shw_tertiary,,2,23,19.4166,
AT21,shw_tertiary,,2,24,18.1587,
AT22,shw_tertiary,,0,1,17.4246,
AT22,shw_tertiary,,0,2,16.6558,
AT22,shw_tertiary,,0,3,16.6638,
AT22,shw_tertiary,,0,4,16.8621,
AT22,shw_tertiary,,0,5,17.6905,
AT22,shw_tertiary,,0,6,18.8318,
AT22,shw_tertiary,,0,7,20.8171,
AT22,shw_tertiary,,0,8,23.89,
AT22,shw_tertiary,,0,9,27.6568,
AT22,shw_tertiary,,0,10,30.5359,
AT22,shw_tertiary,,0,11,31.609,
AT22,shw_tertiary,,0,12,31.3681,
AT22,shw_tertiary,,0,13,30.6883,
AT22,shw_tertiary,,0,14,30.1743,
AT22,shw_tertiary,,0,15,29.3384,
AT22,shw_tertiary,,0,16,27.6442,
AT22,shw_tertiary,,0,17,25.6679,
AT22,shw_tertiary,,0,18,24.3143,
AT22,shw_tertiary,,0,19,23.8443,
AT22,shw_tertiary,,0,20,23.7206,
AT22,shw_tertiary,,0,21,23.6658,
AT22,shw_tertiary,,0,22,22.5497,
AT22,shw_tertiary,,0,23,20.8995,
AT22,shw_tertiary,,0,24,18.7029,
AT22,shw_tertiary,,1,1,17.3193,
AT22,shw_tertiary,,1,2,16.5554,
AT22,shw_tertiary,,1,3,16.5631,
AT22,shw_tertiary,,1,4,16.7196,
AT22,shw_tertiary,,1,5,17.4782,
AT22,shw_tertiary,,1,6,18.351,
AT22,shw_tertiary,,1,7,19.6573,
AT22,shw_tertiary,,1,8,21.5218,
AT22,shw_tertiary,,1,9,23.841,
AT22,shw_tertiary,,1,10,25.622,
AT22,shw_tertiary,,1,11,26.3824,
AT22,shw_tertiary,,1,12,26.4971,
AT22,shw_tertiary,,1,13,26.2064,
AT22,shw_tertiary,,1,14,25.9319,
AT22,shw_tertiary,,1,15,25.5776,
AT22,shw_tertiary,,1,16,24.8871,
AT22,shw_tertiary,,1,17,23.9771,
AT22,shw_tertiary,,1,18,23.2344,
AT22,shw_tertiary,,1,19,22.7963,
AT22,shw_tertiary,,1,20,22.4731,
AT22,shw_tertiary,,1,21,22.292,
AT22,shw_tertiary,,1,22,21.5127,
AT22,shw_tertiary,,1,23,20.3493,
AT22,shw_tertiary,,1,24,18.5401,
AT22,shw_tertiary,,2,1,17.1867,
AT22,shw_tertiary,,2,2,16.4261,
AT22,shw_tertiary,,2,3,16.4337,
AT22,shw_tertiary,,2,4,16.5374,
AT22,shw_tertiary,,2,5,17.1581,
AT22,shw_tertiary,,2,6,17.7552,
AT22,shw_tertiary,,2,7,18.6756,
AT22,shw_tertiary,,2,8,19.8068,
AT22,shw_tertiary,,2,9,21.2734,
AT22,shw_tertiary,,2,10,22.3194,
AT22,shw_tertiary,,2,11,22.8119,
AT22,shw_tertiary,,2,12,22.9436,
AT22,shw_tertiary,,2,13,22.7855,
AT22,shw_tertiary,,2,14,22.4273,
AT22,shw_tertiary,,2,15,21.9162,
AT22,shw_tertiary,,2,16,21.1603,
AT22,shw_tertiary,,2,17,20.4718,
AT22,shw_tertiary,,2,18,20.1437,
AT22,shw_tertiary,,2,19,20.2157,
AT22,shw_tertiary,,2,20,20.38,
AT22,shw_tertiary,,2,21,20.4551,
AT22,shw_tertiary,,2,22,20.0245,
AT22,shw_tertiary,,2,23,19.4166,
AT22,shw_tertiary,,2,24,18.1587,
AT31,shw_tertiary,,0,1,17.4246,
AT31,shw_tertiary,,0,2,16.6558,
AT31,shw_tertiary,,0,3,16.6638,
AT31,shw_tertiary,,0,4,16.8621,
AT31,shw_tertiary,,0,5,17.6905,
AT31,shw_tertiary,,0,6,18.8318,
AT31,shw_tertiary,,0,7,20.8171,
AT31,shw_tertiary,,0,8,23.89,
AT31,shw_tertiary,,0,9,27.6568,
AT31,shw_tertiary,,0,10,30.5359,
AT31,shw_tertiary,,0,11,31.609,
AT31,shw_tertiary,,0,12,31.3681,
AT31,shw_tertiary,,0,13,30.6883,
AT31,shw_tertiary,,0,14,30.1743,
AT31,shw_tertiary,,0,15,29.3384,
AT31,shw_tertiary,,0,16,27.6442,
AT31,shw_tertiary,,0,17,25.6679,
AT31,shw_tertiary,,0,18,24.3143,
AT31,shw_tertiary,,0,19,23.8443,
AT31,shw_tertiary,,0,20,23.7206,
AT31,shw_tertiary,,0,21,23.6658,
AT31,shw_tertiary,,0,22,22.5497,
AT31,shw_tertiary,,0,23,20.8995,
AT31,shw_tertiary,,0,24,18.7029,
AT31,shw_tertiary,,1,1,17.3193,
AT31,shw_tertiary,,1,2,16.5554,
AT31,shw_tertiary,,1,3,16.5631,
AT31,shw_tertiary,,1,4,16.7196,
AT31,shw_tertiary,,1,5,17.4782,
AT31,shw_tertiary,,1,6,18.351,
AT31,shw_tertiary,,1,7,19.6573,
AT31,shw_tertiary,,1,8,21.5218,
AT31,shw_tertiary,,1,9,23.841,
AT31,shw_tertiary,,1,10,25.622,
AT31,shw_tertiary,,1,11,26.3824,
AT31,shw_tertiary,,1,12,26.4971,
AT31,shw_tertiary,,1,13,26.2064,
AT31,shw_tertiary,,1,14,25.9319,
AT31,shw_tertiary,,1,15,25.5776,
AT31,shw_tertiary,,1,16,24.8871,
AT31,shw_tertiary,,1,17,23.9771,
AT31,shw_tertiary,,1,18,23.2344,
AT31,shw_tertiary,,1,19,22.7963,
AT31,shw_tertiary,,1,20,22.4731,
AT31,shw_tertiary,,1,21,22.292,
AT31,shw_tertiary,,1,22,21.5127,
AT31,shw_tertiary,,1,23,20.3493,
AT31,shw_tertiary,,1,24,18.5401,
AT31,shw_tertiary,,2,1,17.1867,
AT31,shw_tertiary,,2,2,16.4261,
AT31,shw_tertiary,,2,3,16.4337,
AT31,shw_tertiary,,2,4,16.5374,
AT31,shw_tertiary,,2,5,17.1581,
AT31,shw_tertiary,,2,6,17.7552,
AT31,shw_tertiary,,2,7,18.6756,
AT31,shw_tertiary,,2,8,19.8068,
